,Open,High,Low,Close,Volume,Date,EMA_7,EMA_14,EMA_21,SMA_7,SMA_14,SMA_21,CUMLOGRET_1,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,GBP USD ,Gold in USD close,Gold in USD volume,Crude Futures_close,Crude Futures_volume,3M,FTSE_H-L,FTSE_O-C,GBP_USD_H-L,GBP_USD_O-C,Gold_H-L,Gold_O-C,Crude_H-L,Crude_O-C,Close_copy
21,5196.8,5197.3,5068.6,5128.5,889500800.0,2011-09-30,5182.809112288244,5198.952537158768,5223.742424242425,5147.828571428572,5218.1214285714295,5219.44761904762,-0.05504271551851528,0.0,0.0,0.0,5015.086917524788,5215.820000000001,5416.553082475213,7.697086267364001,0.2824972373181603,1.559941,1617.5500000000002,221.5,101.275,685.0,0.9525,128.69999999999982,68.30000000000018,0.010620999999999992,-4.899999999996574e-05,55.75,23.34999999999991,2.710000000000008,0.4749999999999943,5128.5
22,5128.5,5128.5,4983.3,5075.5,774952000.0,2011-10-03,5155.981834216183,5182.492198870933,5210.265840220386,5152.671428571428,5211.064285714287,5209.138095238096,-0.06543089204149523,0.0,0.0,0.0,5010.355683456143,5214.465,5418.574316543857,7.82858132306409,0.1595819280739673,1.558312,1614.7,159.0,99.79,539.0,0.95375,145.19999999999982,53.0,0.013293999999999917,-4.899999999996574e-05,81.5,46.299999999999955,2.480000000000004,1.3699999999999903,5075.5
23,5075.5,5075.5,4868.6,4944.4,1168273100.0,2011-10-04,5103.0863756621375,5150.746572354808,5186.096218382168,5135.185714285714,5190.878571428571,5201.604761904762,-0.09160031125231302,0.0,0.0,0.0,4969.044135648948,5203.844999999999,5438.6458643510505,9.024129825198528,-0.05247880095556866,1.543591,1640.3,114.0,102.76,622.5,0.95688,206.89999999999964,131.10000000000036,0.012126999999999999,-9.499999999995623e-05,40.700000000000045,-11.0,3.1850000000000023,-0.5300000000000153,4944.4
24,4944.4,5121.4,4944.4,5102.2,932393600.0,2011-10-05,5102.8647817466035,5144.273696040834,5178.469289438335,5137.0142857142855,5174.071428571428,5199.004761904762,-0.06018411501893407,0.0,0.0,0.0,4960.44005745212,5193.025,5425.60994254788,8.957589942196698,0.3047487532833245,1.54703,1651.9,38.0,105.73,706.0,0.95938,177.0,-157.80000000000018,0.008853,-0.00043099999999984817,17.100000000000136,-9.300000000000182,3.8900000000000006,-2.430000000000007,5102.2
25,5102.2,5291.3,5102.2,5291.3,1147794400.0,2011-10-06,5149.973586309952,5163.87720323539,5188.7266267621235,5136.614285714286,5168.564285714286,5197.704761904762,-0.023791971912536663,-49.59596912556208,0.0,0.0,4963.283035129594,5190.57,5417.856964870405,8.757688071653227,0.7215921182665155,1.546599,1634.5,66.0,105.88,699.0,0.96,189.10000000000036,-189.10000000000036,0.021490999999999927,9.599999999987396e-05,38.799999999999955,22.5,1.8800000000000097,-0.47999999999998977,5291.3
26,5291.3,5370.9,5261.4,5303.4,864877000.0,2011-10-07,5188.330189732464,5182.480242804005,5199.151478874657,5148.871428571429,5171.692857142857,5195.942857142856,-0.021507809971023823,-34.45527871877948,0.0,0.0,4962.603713643833,5195.004999999999,5427.406286356166,8.947105396671095,0.733206540504857,1.543448,1647.1,108.5,108.305,562.5,0.95875,109.5,-12.099999999999454,0.02159500000000003,-4.799999999982596e-05,33.09999999999991,23.90000000000009,2.730000000000004,-1.4550000000000125,5303.4
27,5303.4,5413.4,5303.4,5399.0,611583700.0,2011-10-10,5240.997642299348,5211.349543763471,5217.319526249688,5177.757142857142,5174.214285714285,5204.719047619047,-0.003642183047694079,-14.574050864819583,0.0,0.0,4961.9961499945675,5208.475,5454.953850005433,9.464530404981605,0.8864936078608776,1.553302,1659.7,151.0,110.73,426.0,0.95875,110.0,-95.60000000000036,0.014793999999999974,0.0010380000000000944,27.40000000000009,25.299999999999955,3.5799999999999983,-2.430000000000007,5399.0
28,5399.0,5399.0,5330.4,5395.7,636003500.0,2011-10-11,5279.6732317245105,5235.929604595008,5233.535932954262,5215.928571428572,5181.878571428571,5217.390476190477,-0.004253594222215176,0.9052478910161881,0.0,0.0,4960.626677164399,5219.545,5478.4633228356015,9.921107025060667,0.8401748436935618,1.565827,1681.3,37.0,111.36,337.0,0.96125,68.60000000000036,3.300000000000182,0.008056000000000063,-2.4000000000024002e-05,23.90000000000009,-14.200000000000045,1.7700000000000102,0.5,5395.7
29,5395.7,5458.0,5348.2,5441.8,833336600.0,2011-10-12,5320.2049237933825,5263.378990649007,5252.46902995842,5268.257142857142,5210.464285714285,5230.128571428571,0.004253954207455103,16.700080273610183,0.0,0.0,4953.7969367856895,5230.285,5506.77306321431,10.572581158170555,0.882502950653699,1.558895,1667.3,148.0,111.11,118.0,0.9625,109.80000000000018,-46.100000000000364,0.024599000000000038,-2.4000000000024002e-05,22.59999999999991,8.799999999999955,2.0600000000000023,-0.9399999999999977,5441.8
30,5441.8,5456.1,5368.4,5403.4,895898200.0,2011-10-13,5341.003692845037,5282.048458562473,5266.190027234927,5333.828571428572,5234.507142857144,5238.528571428572,-0.0028275492175581646,25.82138678107276,0.0,0.0,4950.565918371541,5233.58,5516.594081628459,10.815315009169986,0.8000204071522832,1.574778,1681.8,51.0,114.68,1820.0,0.96375,87.70000000000073,38.400000000000546,0.009311999999999987,0.0007200000000000539,17.5,-16.0,1.559999999999988,-0.8700000000000045,5403.4
